User-ID,Age
1,32.0
2,18.0
3,32.0
4,17.0
5,32.0
6,61.0
7,32.0
8,32.0
9,32.0
10,26.0
11,14.0
12,32.0
13,26.0
14,32.0
15,32.0
16,32.0
17,32.0
18,25.0
19,14.0
20,19.0
21,46.0
22,32.0
23,32.0
24,19.0
25,55.0
26,32.0
27,32.0
28,24.0
29,19.0
30,24.0
31,20.0
32,32.0
33,34.0
34,32.0
35,17.0
36,24.0
37,23.0
38,34.0
39,32.0
40,32.0
41,14.0
42,17.0
43,32.0
44,51.0
45,32.0
46,31.0
47,21.0
48,32.0
49,32.0
50,17.0
51,34.0
52,32.0
53,32.0
54,44.0
55,32.0
56,24.0
57,32.0
58,32.0
59,23.0
60,32.0
61,30.0
62,32.0
63,57.0
64,32.0
65,32.0
66,30.0
67,43.0
68,32.0
69,32.0
70,44.0
71,24.0
72,34.0
73,32.0
74,30.0
75,37.0
76,32.0
77,32.0
78,18.0
79,20.0
80,32.0
81,32.0
82,32.0
83,32.0
84,32.0
85,41.0
86,32.0
87,32.0
88,32.0
89,54.0
90,42.0
91,32.0
92,20.0
93,50.0
94,39.0
95,32.0
96,32.0
97,32.0
98,19.0
99,42.0
100,44.0
101,26.0
102,32.0
103,53.0
104,47.0
105,36.0
106,32.0
107,32.0
108,32.0
109,20.0
110,32.0
111,25.0
112,32.0
113,32.0
114,57.0
115,32.0
116,32.0
117,57.0
118,28.0
119,35.0
120,13.0
121,32.0
122,32.0
123,24.0
124,58.0
125,49.0
126,24.0
127,28.0
128,32.0
129,47.0
130,32.0
131,32.0
132,38.0
133,45.0
134,32.0
135,32.0
136,32.0
137,32.0
138,28.0
139,35.0
140,24.0
141,32.0
142,32.0
143,26.0
144,62.0
145,32.0
146,32.0
147,32.0
148,63.0
149,32.0
150,25.0
151,32.0
152,26.0
153,24.0
154,32.0
155,32.0
156,20.0
157,36.0
158,38.0
159,32.0
160,20.0
161,27.0
162,32.0
163,32.0
164,33.0
165,62.0
166,20.0
167,32.0
168,44.0
169,32.0
170,32.0
171,29.0
172,66.0
173,32.0
174,31.0
175,32.0
176,34.0
177,46.0
178,28.0
179,32.0
